Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
09-03-2023 05:00,EST,CAPITL,61757,37.44,1.58,-12.24,1
09-03-2023 06:00,EST,CAPITL,61757,57.14,2.03,-25.33,1
09-03-2023 07:00,EST,CAPITL,61757,56.8,1.89,-25.88,1
09-03-2023 08:00,EST,CAPITL,61757,48.67,1.82,-18.48,1
09-03-2023 09:00,EST,CAPITL,61757,39.93,1.66,-11.55,1
09-03-2023 10:00,EST,CAPITL,61757,32.61,1.74,-3.67,1
09-03-2023 11:00,EST,CAPITL,61757,33.11,1.47,-7.96,1
09-03-2023 12:00,EST,CAPITL,61757,31,1.37,-6.33,1
09-03-2023 13:00,EST,CAPITL,61757,30.66,1.37,-6.47,1
09-03-2023 14:00,EST,CAPITL,61757,31.11,1.34,-7.83,1
09-03-2023 15:00,EST,CAPITL,61757,32.42,1.41,-8.24,1
09-03-2023 16:00,EST,CAPITL,61757,39.67,1.29,-17.99,1
09-03-2023 17:00,EST,CAPITL,61757,58.71,1.41,-35.96,1
09-03-2023 18:00,EST,CAPITL,61757,85.27,1.9,-55.39,1
09-03-2023 19:00,EST,CAPITL,61757,57.38,1.86,-28.9,1
09-03-2023 20:00,EST,CAPITL,61757,54.66,1.75,-27.87,1
09-03-2023 21:00,EST,CAPITL,61757,43.29,1.74,-16.74,1
09-03-2023 22:00,EST,CAPITL,61757,35,1.63,-9.48,1
09-03-2023 23:00,EST,CAPITL,61757,33.68,1.55,-7.22,1
10-03-2023 00:00,EST,CAPITL,61757,31.77,1.39,-7.52,1
10-03-2023 01:00,EST,CAPITL,61757,28.41,1.31,-5.64,1
10-03-2023 02:00,EST,CAPITL,61757,27.1,1.36,-3.85,1
10-03-2023 03:00,EST,CAPITL,61757,26.56,1.41,-2.45,1
10-03-2023 04:00,EST,CAPITL,61757,26.89,1.44,-2.65,1
10-03-2023 05:00,EST,CAPITL,61757,30.76,1.44,-6.49,1
10-03-2023 06:00,EST,CAPITL,61757,46.65,1.7,-19.89,1
10-03-2023 07:00,EST,CAPITL,61757,50.27,1.7,-23.24,1
10-03-2023 08:00,EST,CAPITL,61757,42.33,1.72,-14.09,1
10-03-2023 09:00,EST,CAPITL,61757,38.61,1.61,-11.92,1
10-03-2023 10:00,EST,CAPITL,61757,33.7,1.6,-7.1,1
10-03-2023 11:00,EST,CAPITL,61757,32.46,1.55,-6.29,1
10-03-2023 12:00,EST,CAPITL,61757,31.8,1.48,-7.23,1
10-03-2023 13:00,EST,CAPITL,61757,33.69,1.49,-9.31,1
10-03-2023 14:00,EST,CAPITL,61757,34.92,1.48,-10.99,1
10-03-2023 15:00,EST,CAPITL,61757,36.26,1.49,-12.5,1
10-03-2023 16:00,EST,CAPITL,61757,45.42,1.01,-28.58,1
10-03-2023 17:00,EST,CAPITL,61757,59.29,1.01,-42.76,1
10-03-2023 18:00,EST,CAPITL,61757,66.82,1.44,-43.89,1
10-03-2023 19:00,EST,CAPITL,61757,56.28,1.58,-31.76,1
10-03-2023 20:00,EST,CAPITL,61757,48.39,1.28,-28,1
10-03-2023 21:00,EST,CAPITL,61757,44.2,1.16,-25.44,1
10-03-2023 22:00,EST,CAPITL,61757,37.05,1.11,-18.86,1
10-03-2023 23:00,EST,CAPITL,61757,32.67,1.38,-8.37,1
11-03-2023 00:00,EST,CAPITL,61757,34.68,1.39,-10.46,1
11-03-2023 01:00,EST,CAPITL,61757,33.65,1.4,-9.61,1
11-03-2023 02:00,EST,CAPITL,61757,31.92,1.4,-7.95,1
11-03-2023 03:00,EST,CAPITL,61757,31.55,1.36,-7.92,1
11-03-2023 04:00,EST,CAPITL,61757,31.49,1.39,-7.27,1
11-03-2023 05:00,EST,CAPITL,61757,33.6,1.44,-9.25,1
